model,average_accuracy,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6,repeat_7,repeat_8,repeat_9,repeat_10,repeat_11,repeat_12,repeat_13,repeat_14,repeat_15,repeat_16,repeat_17,repeat_18,repeat_19,repeat_20,repeat_21,repeat_22,repeat_23,repeat_24,repeat_25,repeat_26,repeat_27,repeat_28,repeat_29,tag_3d,tag_3d_complex_cube_transformation_tasks,tag_3d_rotations_multi_die,tag_complex,tag_die,tag_multi_transformation,tag_rotation,tag_rubiks_cube
gemma3:4b,0.0239,0.0256,0.0256,0.0256,0.0000,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0256,0.0000,0.0256,0.0256,0.0256,0.0256,0.0239,0.0000,0.0491,0.0000,0.0491,0.0239,0.0491,0.0000
gemma4:e2b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
gemma4:e4b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
mistral:7b,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
