model,average_accuracy,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6,repeat_7,repeat_8,repeat_9,repeat_10,repeat_11,repeat_12,repeat_13,repeat_14,repeat_15,repeat_16,repeat_17,repeat_18,repeat_19,repeat_20,repeat_21,repeat_22,repeat_23,repeat_24,repeat_25,repeat_26,repeat_27,repeat_28,repeat_29,tag_rotation,tag_translation,tag_2d,tag_3d,tag_common_sense
gemma3:4b,0.3662,0.3478,0.3652,0.3652,0.3739,0.3609,0.3826,0.3826,0.3609,0.3783,0.3696,0.3652,0.3652,0.3696,0.3609,0.3652,0.3739,0.3609,0.3652,0.3565,0.3609,0.3522,0.3739,0.3522,0.3652,0.3652,0.3739,0.3652,0.3783,0.3652,0.3652,0.2931,0.4560,0.4063,0.3354,0.5711
gemma4:26b,0.5371,0.5435,0.5391,0.5435,0.5348,0.5174,0.5522,0.5348,0.5435,0.5304,0.5348,0.5391,0.5478,0.5522,0.5348,0.5304,0.5261,0.5087,0.5391,0.5304,0.5565,0.5348,0.5478,0.5522,0.5391,0.5261,0.5261,0.5261,0.5522,0.5304,0.5391,0.5771,0.5743,0.5920,0.4949,0.7011
gemma4:e2b,0.3971,0.3913,0.3957,0.4000,0.3739,0.3870,0.4174,0.4174,0.3826,0.3739,0.4217,0.4043,0.4087,0.3826,0.4000,0.4000,0.4000,0.4174,0.3957,0.3913,0.4043,0.3696,0.4087,0.3826,0.4087,0.4087,0.3957,0.3913,0.3870,0.3870,0.4087,0.3736,0.4362,0.3950,0.3987,0.6433
gemma4:e4b,0.3943,0.3826,0.4391,0.3826,0.3957,0.3783,0.3957,0.4087,0.3870,0.3913,0.4130,0.4087,0.4217,0.4043,0.3783,0.3826,0.4174,0.3957,0.3783,0.4130,0.4130,0.3565,0.4043,0.3826,0.4000,0.3739,0.3739,0.4130,0.3696,0.3957,0.3739,0.3669,0.4252,0.3537,0.4256,0.6400
mistral:7b,0.3117,0.3130,0.3043,0.3174,0.3174,0.3087,0.3304,0.3087,0.3130,0.3087,0.3348,0.3174,0.3043,0.3000,0.3043,0.3130,0.2870,0.3043,0.3217,0.3435,0.3174,0.2957,0.3043,0.3174,0.2957,0.2957,0.3130,0.3087,0.3087,0.3000,0.3435,0.2474,0.3681,0.2980,0.3223,0.6289
qwen3.6:27b,0.4626,0.5043,0.4652,0.4783,0.4304,0.4783,0.4609,0.4696,0.4870,0.4957,0.4565,0.4435,0.4565,0.4304,0.4957,0.4783,0.4565,0.4391,0.4696,0.4174,0.4565,0.4565,0.4783,0.4391,0.4304,0.4652,0.4696,0.4783,0.4304,0.4957,0.4652,0.4862,0.4798,0.4720,0.4554,0.7133
qwen3:8b,0.4229,0.4261,0.4174,0.4130,0.4174,0.4261,0.4261,0.4217,0.4217,0.4217,0.4348,0.4261,0.4174,0.4174,0.4217,0.4304,0.4217,0.4174,0.4304,0.4348,0.4261,0.4174,0.4217,0.4174,0.4217,0.4348,0.4130,0.4130,0.4261,0.4217,0.4304,0.3619,0.4957,0.4003,0.4403,0.7244
