model,average_accuracy,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6,repeat_7,repeat_8,repeat_9,repeat_10,repeat_11,repeat_12,repeat_13,repeat_14,repeat_15,repeat_16,repeat_17,repeat_18,repeat_19,repeat_20,repeat_21,repeat_22,repeat_23,repeat_24,repeat_25,repeat_26,repeat_27,repeat_28,repeat_29,tag_2d_rotation_multi,tag_2d_rotation_single,tag_2d_translation_single,tag_2d_translation_multi,tag_2d_combined_transformations_multi,tag_3d_rotation_single,tag_3d_rotation_multi,tag_3d_translation_single,tag_3d_translation_multi,tag_3d_rotations_single_common_sense,tag_3d_translations_single_common_sense,tag_3d_combined_transformations_multi,tag_3d_combined_transformations_common_sense
gemma3:4b,0.3662,0.3478,0.3652,0.3652,0.3739,0.3609,0.3826,0.3826,0.3609,0.3783,0.3696,0.3652,0.3652,0.3696,0.3609,0.3652,0.3739,0.3609,0.3652,0.3565,0.3609,0.3522,0.3739,0.3522,0.3652,0.3652,0.3739,0.3652,0.3783,0.3652,0.3652,0.3050,0.1850,0.6000,0.4350,0.5067,0.1017,0.1717,0.3100,0.4150,0.5133,0.8000,0.3250,0.4000
gemma4:26b,0.5371,0.5435,0.5391,0.5435,0.5348,0.5174,0.5522,0.5348,0.5435,0.5304,0.5348,0.5391,0.5478,0.5522,0.5348,0.5304,0.5261,0.5087,0.5391,0.5304,0.5565,0.5348,0.5478,0.5522,0.5391,0.5261,0.5261,0.5261,0.5522,0.5304,0.5391,0.2917,0.7233,0.6250,0.4650,0.8550,0.5267,0.3133,0.5700,0.2267,0.6033,0.5000,0.5283,1.0000
gemma4:e2b,0.3971,0.3913,0.3957,0.4000,0.3739,0.3870,0.4174,0.4174,0.3826,0.3739,0.4217,0.4043,0.4087,0.3826,0.4000,0.4000,0.4000,0.4174,0.3957,0.3913,0.4043,0.3696,0.4087,0.3826,0.4087,0.4087,0.3957,0.3913,0.3870,0.3870,0.4087,0.2017,0.3500,0.5500,0.4917,0.3817,0.6000,0.1233,0.2750,0.3100,0.4767,0.6500,0.3183,0.8033
gemma4:e4b,0.3943,0.3826,0.4391,0.3826,0.3957,0.3783,0.3957,0.4087,0.3870,0.3913,0.4130,0.4087,0.4217,0.4043,0.3783,0.3826,0.4174,0.3957,0.3783,0.4130,0.4130,0.3565,0.4043,0.3826,0.4000,0.3739,0.3739,0.4130,0.3696,0.3957,0.3739,0.2017,0.4233,0.4267,0.4017,0.3150,0.5500,0.1617,0.3367,0.4867,0.4433,0.6300,0.2717,0.8467
mistral:7b,0.3117,0.3130,0.3043,0.3174,0.3174,0.3087,0.3304,0.3087,0.3130,0.3087,0.3348,0.3174,0.3043,0.3000,0.3043,0.3130,0.2870,0.3043,0.3217,0.3435,0.3174,0.2957,0.3043,0.3174,0.2957,0.2957,0.3130,0.3087,0.3087,0.3000,0.3435,0.1483,0.1217,0.5683,0.4117,0.2400,0.2767,0.1467,0.3100,0.2167,0.6300,0.6933,0.2017,0.5633
qwen3.6:27b,0.4626,0.5043,0.4652,0.4783,0.4304,0.4783,0.4609,0.4696,0.4870,0.4957,0.4565,0.4435,0.4565,0.4304,0.4957,0.4783,0.4565,0.4391,0.4696,0.4174,0.4565,0.4565,0.4783,0.4391,0.4304,0.4652,0.4696,0.4783,0.4304,0.4957,0.4652,0.2283,0.5117,0.5350,0.4767,0.6083,0.6817,0.1850,0.3250,0.2683,0.7100,0.6233,0.4300,0.8067
qwen3:8b,0.4229,0.4261,0.4174,0.4130,0.4174,0.4261,0.4261,0.4217,0.4217,0.4217,0.4348,0.4261,0.4174,0.4174,0.4217,0.4304,0.4217,0.4174,0.4304,0.4348,0.4261,0.4174,0.4217,0.4174,0.4217,0.4348,0.4130,0.4130,0.4261,0.4217,0.4304,0.2133,0.2183,0.6000,0.5633,0.4067,0.5567,0.0550,0.3450,0.4717,0.7000,0.7000,0.3467,0.7733
